,username,text,created_at
12,abbgroupnews,"Smart energy management for @oppo's 5G future!
Learn how #ABB digital solutions deliver reliable uptime, improved efficiency and #sustainability to OPPO, one of the world’s largest manufacturers of mobile devices and a growing global player in #5G.
👉 https://t.co/WwRbCH0FPF https://t.co/81K5iz5cXD",2023-01-31T07:32:57.000Z
13,abbgroupnews,"ABB E-mobility raises additional CHF325 million from four investors in second and final round of pre-IPO private placement.
Read more: https://t.co/GpfCGudgD9
#ABB #emobility #ElectricVehicles https://t.co/eSiMbMhYvc",2023-02-01T07:12:35.000Z
14,abbgroupnews,"ABB - Q4 2022 results: Strong performance improvements in Q4 and long-term margin target achieved early.
Read more: https://t.co/fIms5u939l https://t.co/XJtE6FvcrT",2023-02-02T05:59:19.000Z
15,abbgroupnews,"'A good ending to a good year' - ABB CEO, Björn Rosengren, discusses the key takeaways from the fourth quarter in 2022.
Read more: https://t.co/fIms5u939l https://t.co/8NvUuo3rRS",2023-02-02T08:30:00.000Z
16,abbgroupnews,"⁉ Did you know that about 45% of the #electricity used in industry is consumed by electric motor systems, many of them are over 10 years old and inefficient?
Find out how ABB Inverter Duty Motors can help improve #energyefficiency: https://t.co/tAZ1Wf2wkY 
#sustainability https://t.co/YuVrr3GT8K",2023-02-03T11:00:00.000Z
17,abbgroupnews,"ABB publishes 900th edition of the company’s technical journal ABB Review. The new issue covers the technical breakthroughs across the company
Read more: https://t.co/osM83XirrN
#ABB #innovation #technology https://t.co/dZuzq0kXbb",2023-02-06T08:19:26.000Z
18,abbgroupnews,"Pearl of sustainable transportation, #ABBFormulaE, debuts in India.
Read more: https://t.co/d9MEBUHMxR
#Motorsport #racing #sustainability https://t.co/voO2C1drTf",2023-02-08T08:25:08.000Z
19,abbgroupnews,"ABB Decoded #podcast: Celebrating 900th edition of #ABB’s corporate technical journal. Chief Editor, Andreas Moglestue, shares aspects of the journal's past and discusses what will come in the future.
Listen today 🎧! 👉 https://t.co/NWtpddgtvY
#technology #innovation #research https://t.co/XAahegMHMz",2023-02-09T09:32:20.000Z
20,abbgroupnews,"""Corporate journals didn't come into vogue until the beginning of the 20th century when companies started to advertise their services and capabilities..."" - Andreas Moglestue, Chief Editor of the #ABB Review.
Listen to the full #podcast 👉 https://t.co/9rJWPJiqEa
#didyouknow https://t.co/o0YNhfNwMC",2023-02-10T13:15:00.000Z
21,abbgroupnews,"What a weekend of all-electric #ABBFormulaE racing, and congratulations to Jean-Eric Vergne for his win! 👏 ⚡ 🏎 🏆
Don't forget to watch our highlights! 👇

#ABB #motorsports #racing #electricvehicles #sustainability https://t.co/oK2uL5iuGS",2023-02-13T08:16:42.000Z
22,abbgroupnews,"""ABB Review goes hand in glove with #Technology with #Research"" - ABB Review Chief Editor, Andreas Moglestue. 
Find out more about the history of our corporate journal and our more recent technological developments in the full episode 👇
https://t.co/9rJWPJiqEa
#ABB #innovation https://t.co/NYQm0CVCIA",2023-02-14T05:45:00.000Z
23,abbgroupnews,".@22Bishopsgate, London's 2nd tallest building offers exceptional amenities and breath taking views. Designed by @plparchitecture, this building offers something special to all who enter! 
Watch Frozen Music episode #19 https://t.co/iN74rLf5O7 https://t.co/0HKrbQ9Htn",2023-02-22T13:59:04.000Z
24,abbgroupnews,"ABB today published the invitation to its Annual General Meeting, which will be held on Thursday, March 23, 2023.
Read more for details and invitation: https://t.co/KAtjiPjmQW https://t.co/AcARRHON4v",2023-02-24T06:10:08.000Z
25,abbgroupnews,"With the sale of #robots hitting record levels, Marc Segura, ABB #Robotics President is making several predictions on key trends in robotics #automation for 2023. 
Read more: https://t.co/rmccjeiEtF
#ABB #innovation https://t.co/LDGC6WsV7G",2023-02-27T11:18:17.000Z
26,abbgroupnews,"ABB invests in Direct Current #microgrid start-up Direct Energy Partners to accelerate #energy transformation.
Read more: https://t.co/SAtUbG37TV
#ABB #technology https://t.co/l9lSE3IWoj",2023-03-08T09:41:00.000Z
27,abbgroupnews,"Research reveals energy concerns impacting business competitiveness, the workforce and #decarbonization.
Read more: https://t.co/kD83K8F6Tn
#ABB #energysecurity https://t.co/uxsmrNj43Z",2023-03-16T06:29:57.000Z
28,abbgroupnews,"ABB to expand #Robotics factory in US. The expansion featuring the latest in automated and advanced #manufacturing processes is to open in November 2023.
Read more: https://t.co/UitSDUGMUY https://t.co/xXzwVJVnoc",2023-03-16T12:05:46.000Z
29,abbgroupnews,"The #technology behind the perfect cup of coffee! At Atilla, Brazil's biggest manufacturer of midsize #coffee roasters, ABB drives and #automation hardware are enabling millisecond-accurate control over how coffee is roasted – leading to a better cup of Joe than ever before. https://t.co/l8HDsDP2Np",2023-03-21T11:00:00.000Z
30,abbgroupnews,"“It’s great to see the #technology transfer between racing and the road. It’s great to be part of that.” - Stoffel Vandoorne, #ABBFormulaE ambassador and reigning World Champion, describes the all-electric championship as “a testing ground” for #emobility: https://t.co/9rJWPJiYtI https://t.co/vCdzCaosD2",2023-03-21T20:00:00.000Z
31,abbgroupnews,"ABB Formula E showcases #energyefficiency in motorsport crazy #Brazil. ⚡🏎 🇧🇷
Read more: https://t.co/NICmmuOJ4w
#ABBFormulaE #motorsport #ElectricVehicles https://t.co/jne0GvvWRc",2023-03-22T11:09:46.000Z
32,abbgroupnews,"ABB shareholders approve all proposals at 2023 Annual General Meeting.
Read more: https://t.co/3bdhCyEjIk https://t.co/uU1sp93Ro0",2023-03-23T12:14:27.000Z
33,abbgroupnews,"“I would say the #software, especially, is the key for these cars,” says Stoffel Vandoorne, #ABBFormulaE ambassador and reigning World Champion, in the latest episode of the #ABB Decoded #podcast. “We have a lot of very clever systems to help us drive.” 👇https://t.co/9rJWPJiqEa https://t.co/pcYo2o1qzX",2023-03-30T19:00:02.000Z
34,abbgroupnews,"ABB launches new share buyback program of up to $1 billion.
Read more: https://t.co/31WCnbb1oh https://t.co/dhqu6qXmE4",2023-03-31T05:38:10.000Z
35,abbgroupnews,"Podcast 🎧 - Have you listened to current #ABBFormulaE World Champion Stoffel Vandoorne talk about the #emobility technology transfer from the race track to the road? 👇https://t.co/9rJWPJiqEa
#motorsports #ElectricVehicles",2023-03-31T07:40:28.000Z
36,abbgroupnews,"ABB invests $170 million in the US. The investment reflects increased customer demand for #electrification and #automation products.
Read more: https://t.co/TaqIR5XQBi https://t.co/Wd9YtyacV9",2023-04-04T12:07:46.000Z
37,abbgroupnews,"⁉ Did you know that #ABB technology can help turn wastewater into clean #water? Learn how ABB sensors that measure dissolved oxygen levels in the #wastewater treatment process are helping to make water more available 👉 https://t.co/TLPBBYbzmK
#DidYouKnow #technology https://t.co/bb6qfd1Igx",2023-04-14T10:00:03.000Z
38,abbgroupnews,"""45% of the world's #electricity goes through motors. The higher the efficiency the more savings. We have a front row seat when it comes to seeing the impact of higher efficiency and reducing CO2 emissions"" - #ABB's Tarak Mehta in our latest #podcast.🎧👉https://t.co/9rJWPJiYtI https://t.co/TUh8BEeQvy",2023-04-14T12:00:01.000Z
39,abbgroupnews,"ABB Formula E brings the EV revolution to the land of the Autobahn 🇩🇪🏎👉 https://t.co/h3kdOyJcYR
#abbformulae #ElectricVehicles #Motorsport 

[📸: dppi] https://t.co/bD9ekTSEeX",2023-04-19T12:40:51.000Z
40,abbgroupnews,"ABB Formula E to showcase #emobility excellence on World Earth Day. 
👉 https://t.co/O5NhhAMz2j
#abbformulae #Sustainability #worldearthday https://t.co/5L9N8IkFPG",2023-04-20T08:56:01.000Z
41,abbgroupnews,"ABB and PLN Icon Plus strengthen collaboration on developing #ElectricVehicle charging services.
Read more: https://t.co/yXgQXzw8JF
#ABB #emobility #HM23 https://t.co/RocsdTezHY",2023-04-20T10:58:49.000Z
42,abbgroupnews,"ABB Q1 2023 results - strong start to the year
Read more: https://t.co/nUuon5qoav
#ABB https://t.co/hPkK6gYmG9",2023-04-25T05:04:36.000Z
43,abbgroupnews,"ABB plans to delist its American Depositary Receipts from the New York Stock Exchange.
Read more: https://t.co/AToNCaf1zO https://t.co/vvfVRAPQIy",2023-04-25T05:19:25.000Z
44,abbgroupnews,"ABB CFO, Timo Ihamuotila, frames the market picture in the first quarter of 2023.
Read more: https://t.co/nUuon5pQkX https://t.co/PSX1odDIp2",2023-04-25T08:53:45.000Z
45,abbgroupnews,"ABB completes acquisition of Siemens low voltage NEMA motor business.
Read more: https://t.co/Ttfm8AE6y2
#ABB #technology https://t.co/bctmoOebdb",2023-05-03T08:43:05.000Z
46,abbgroupnews,"ABB Formula E brings pace and power of all-electric racing to Monte Carlo. ⚡️🏎️
Read more: https://t.co/Mmvjp63h6o
#ABB #ABBFormulaE #Motorsport #ElectricVehicles #montecarlo 
[Image: DPPI] https://t.co/JX1WcxWbpr",2023-05-03T08:56:26.000Z
47,abbgroupnews,"Find out how #ABB digital solutions help #Brazil’s largest #paper maker meet expanded production targets: https://t.co/Gxh2aKagyK
#betterdecisions #automation https://t.co/hvfcjgR8mW",2023-05-03T20:09:22.000Z
48,abbgroupnews,"ABB and @FIAFormulaE to recognize on-track progress with new award.
Read more: https://t.co/ETIHibHsBF
#ABB #motorsports #electricvehicles #abbformulae https://t.co/jIXlTEdV69",2023-05-04T12:21:57.000Z
49,abbgroupnews,"ABB Decoded #podcast: Helping to solve the global #water scarcity crisis.
Discover more: https://t.co/mdIxlHqmVF
#ABB #sustainability #technology https://t.co/QSAldvJsX6",2023-05-05T10:22:06.000Z
50,abbgroupnews,"ABB collaborates with Lhyfe and Skyborn on one of Europe’s largest renewable #hydrogen projects.
Read more: https://t.co/XhfXK2eYM4
#ABB #Sustainability #renewables https://t.co/7ZPXtJl0z8",2023-05-08T06:41:06.000Z
51,abbgroupnews,"#ABB digital solutions helped TRR Sugar expand mill #automation while reducing maintenance and #energy costs.
Discover how 👉 https://t.co/MYUA2Neyev
#betterdecisions #ABB_Ability https://t.co/6Y4KSBvA0J",2023-05-11T06:22:35.000Z
52,abbgroupnews,"Two of Finland’s major #hydropower plants, located in the freezing Arctic Circle, are now SF6 ‘greenhouse gas’ free thanks to a turn-key generator circuit breaker retrofit from #ABB.
Read more: https://t.co/H1yIT6w45S

#electrification #sustainability https://t.co/Msfzc7Qiad",2023-05-12T07:13:37.000Z
53,abbgroupnews,"Did you know that half of Zurich residents exercise more than 3 hours a week? The new center for them is high above Lake Walensee in the Swiss Alps: the newly renovated Sportzentrum Kerenzerberg! 
➡️ Watch Episode #20 of Frozen Music: https://t.co/yYEDvjgfyy
#smartbuilding https://t.co/HVK0JGe2oP",2023-05-24T10:30:00.000Z
54,abbgroupnews,"Better decisions for #energyefficiency!
Find out how @TarkettGroup`s Swedish factory used #ABB_Ability energy appraisal to boost motor efficiency by 15%: https://t.co/Vz7QO6SSgq
#data #energyefficiency #betterdecisions https://t.co/yvwnnM7V8s",2023-05-25T05:42:28.000Z
55,abbgroupnews,"ABB unveils revolutionary propulsion concept to significantly increase ship efficiency.
Read more: https://t.co/ix7qOw0sS7
#ABB #energyefficiency #Shipping #technology https://t.co/kg2mBYW3iG",2023-05-31T06:11:33.000Z
56,abbgroupnews,"Making perfect snow with less energy - a World Cup winner from #ABB
Discover more: https://t.co/vNmiLizqjm
#betterdecisions #energyefficiency #skiing #technology https://t.co/zE0hvUApGN",2023-05-31T10:00:01.000Z
57,abbgroupnews,"ABB helps ensure sustainable power at 75th Formula E race as title sponsor.
Read more: https://t.co/gXN3ZBAF4D
#ABBFormulaE #sustainability #motorsports 
[📸: DPPI] https://t.co/l0s3XSb53b",2023-06-01T08:08:36.000Z
58,abbgroupnews,"@okohonen @ABBMarine Hi Oskar,
You can find more details here: https://t.co/YS2TJmmiak",2023-06-01T08:23:22.000Z
59,abbgroupnews,"ABB Formula E charges into Jakarta for a two-race showcase of cutting-edge sustainable #technology.
Read more: https://t.co/ev3pJ9Dc4k
#ABBFormulaE #sustainability #motorsports https://t.co/ZkZEUyvRPv",2023-06-01T13:05:08.000Z
60,abbgroupnews,"ABB Decoded: How #technology can cut energy costs and drive efficiency.
Listen to our #podcast today 🎧👉 https://t.co/9rJWPJiYtI
#energyefficiency #sustainability https://t.co/NRiTHnBBzD",2023-06-02T08:21:54.000Z
61,abbgroupnews,"It's a first-ever #ABBFormulaE pole position for Max Guenther, of Maserati, at the first #JakartaEPrix. 👏Tune in from 10:00 CEST for all the race action!  #motorsports #racing #electricvehicle
[📸: dppi] https://t.co/NqeIt53T0t",2023-06-03T05:21:56.000Z
62,abbgroupnews,"We are thrilled and honored that Round 10 in Jakarta will mark our 75th race as a proud partner of @FIAFormulaE. 
For 75 races, ABB has been at the forefront of driving sustainable mobility!
#ABBFormulaE #Motorsport #emobility https://t.co/mvkS0HRnUn",2023-06-03T07:18:22.000Z
63,abbgroupnews,"Pascal Wehrlein takes his third Season 9 win in #ABBFormulaE, at race 1 of the #JakartaEPrix 👏 ⚡️ 🏎️
#Motorsport #racing https://t.co/2Ik8cP1dW2",2023-06-03T09:06:11.000Z
64,abbgroupnews,"A second pole position for Max Günther, ahead of race 2 at the #JakartaEPrix. 👏Tune in from 10:00 CEST for all the #ABBFormulaE action! ⚡️🏎️
#Motorsport #racing https://t.co/EKEt3aO6eq",2023-06-04T05:16:24.000Z
65,abbgroupnews,"Congratulations to Max Günther of Maserati, who wins race two of the #ABBFormulaE #JakartaEPrix, after dominating from pole position. 👏

#Motorsport #racing #ElectricVehicles 
[📸:dppi] https://t.co/rSKoe6Z4mU",2023-06-04T09:06:35.000Z
66,abbgroupnews,"ABB E-mobility unveils HVC360, the next evolution in fleet charging solutions.
Read more: https://t.co/Yum52fiOU5
#ABB #emobility #ElectricVehicles https://t.co/api75NPOOQ",2023-06-06T06:31:28.000Z
67,abbgroupnews,"Smart farming pioneer @PureHarvestSF uses #ABB digital solutions to keep conditions right for sustainable and bountiful crops.
Find out more: https://t.co/0HyVIRmVnc

#betterdecisions #smartfarming #energyefficiency https://t.co/EU3ENBbzB7",2023-06-07T11:36:11.000Z
68,abbgroupnews,"Announcing our acquisition of Eve, a pioneer in smart home products based on the new Matter and Thread #technology. The deal makes #ABB a leader in this game-changing technology, as global demand for retrofitting grows. 
Read more: https://t.co/3mkmoJMFJ7
#EvebyABB https://t.co/DxLvrzwtjN",2023-06-12T10:05:56.000Z
69,abbgroupnews,"World’s most remote #robot automates Amazon reforestation project. Pilot project between #ABB Robotics and non-profit organization Junglekeepers demonstrates potential of #robotics and Cloud #technology in reversing deforestation.
Read more: https://t.co/1TXmuHLdeQ https://t.co/FhOPxdz17b",2023-06-13T06:09:46.000Z
70,abbgroupnews,"The rapid rate of #deforestation in the Amazon is a global challenge, resulting in the loss of #biodiversity  and a critical increase in carbon emissions. #Technology can help to turn the tide. 
Find out how: https://t.co/1TXmuHLdeQ https://t.co/CtRwnYeOyM",2023-06-13T12:24:59.000Z
71,abbgroupnews,"ABB estimates UK offshore #windpower capacity must increase by 265% to meet 2030 goal.
Read more: https://t.co/IPaKvVZCyC
#ABB #sustainability #technology https://t.co/ARL7uFFdPA",2023-06-14T06:02:31.000Z
72,abbgroupnews,"⁉ Introducing the ABB Ability™ Building Analyzer. 
Did you know this #software can reduce energy consumption and emissions of a building by up to 20%?
Find out more: https://t.co/ttjROcwb1S
#ABB #didyouknow #energyefficiency https://t.co/Gg1d6rVwSB",2023-06-14T10:00:10.000Z
73,abbgroupnews,"ABB Ability™ #digital solutions enable #betterdecisions for greener cement - how cement producer Votorantim reduces emissions with more efficient processes.
Discover more: https://t.co/xuhZ26sf6k
#ABB #sustainability https://t.co/c7ZTD0wRMz",2023-06-15T10:00:03.000Z
74,abbgroupnews,"24 additional #wind farms need to come online in the next seven years to reach UK’s 50 GW offshore wind target, #ABB analysis shows.
Read more: https://t.co/IPaKvVZCyC
#WorldWindDay #RenewableEnergy #technology https://t.co/cBCWbRmMUb",2023-06-15T10:30:00.000Z
75,abbgroupnews,"“We are happy to help customers, together with our partners, to address the #energy challenge.” That’s #ABB's Morten Wierod explaining how an energy audit can identify waste and saving opportunities. 
Listen to our #podcast today! https://t.co/6uC7aqA5Y3 https://t.co/S4nD6vBQ9t",2023-06-16T06:56:00.000Z
76,abbgroupnews,"In our pilot project with non-profit organization @junglekeepers33, a collaborative #robot is helping to engage and excite young people and local communities in their work, in protecting and rebuilding the Amazon #rainforest, by demonstrating the possibilities of #technology. https://t.co/1YnHLrtidV",2023-06-16T12:12:25.000Z
77,abbgroupnews,"New race for #ABBFormulaE in US, as country drives EV adoption. ⚡️🏎️  🇺🇸
Read more: https://t.co/EzljQlP9pj
#motorsports #racing #ElectricVehicles https://t.co/GcGxTB5mDI",2023-06-19T13:32:10.000Z
78,abbgroupnews,"ABB #robots took part in the opening ceremony of the sixteenth @SpecialOlympics World Games Berlin 2023. We’re proud to be part of the world’s largest inclusive #sports event and wish all our volunteers and the athletes an amazing games.
#specialolympicsworldgames https://t.co/oOXnovX2n5",2023-06-21T08:47:04.000Z
79,abbgroupnews,"Come as you are - this year’s #PrideMonth tagline at #ABB. Because we believe that everyone deserves to be valued and respected for who they are, regardless of their sexual orientation or gender identity.
#DiversityandInclusion https://t.co/c9KxbLqbcS",2023-06-21T10:12:55.000Z
80,abbgroupnews,"Formula E #sustainability showcase returns to #ABB’s largest market. 
This weekend, the ABB @FIAFormulaE World Championship returns to the US, but to the new race location of #Portland, Oregon, for the 12th round of Season 9: https://t.co/iUK0XEW8us
#ABBFormulaE 
[📸: DPPI] https://t.co/CcytKzUHwF",2023-06-21T12:09:44.000Z
81,abbgroupnews,"As title partner of the ABB FIA Formula E World Championship, ABB is proud to have created the Driver of Progress Award, to recognise smart, energy-efficient racing in the all-electric series. See who is our #DriverOfProgress at this weekend's #PortlandEPrix. #energyefficiency https://t.co/gag4D1ElxG",2023-06-23T15:52:29.000Z
82,abbgroupnews,"Ten years of success in electrifying #marine vessels! ⚡🚢
Ten years since its first installation, ABB’s Onboard DC Grid™ has become the standard in multiple vessel segments.
Read more: https://t.co/gjuRmJyvLb
#shipping #electrification https://t.co/DCaIWC3QSa",2023-06-27T13:04:18.000Z
83,abbgroupnews,"If you're visiting automatica today, don't forget to drop by the ABB #automotive zone, which shows our newest large #robots IRB 6720 and IRB 6730 in a battery assembly cell.

#robotics #automation #automatica2023 https://t.co/G9orYHQBFQ",2023-06-29T10:23:58.000Z
84,abbgroupnews,"ABB and @Microsoft collaborate to bring generative #AI to industrial applications.
Read more: https://t.co/SkHkYkKpT1
#ABB_Ability #industry #manufacturing https://t.co/0AHuGYu8xL",2023-07-03T07:10:34.000Z
85,abbgroupnews,"ABB completes sale of Power Conversion division to AcBel. 
Read more: https://t.co/AoYTeyYYx2 https://t.co/n3YwaQx63P",2023-07-03T16:00:09.000Z
86,abbgroupnews,"⁉️ Did you know #ABB-built optical sensors on board satellites monitor methane gas #emissions across the earth? The #data gathered helps governments and industries to come to informed decisions on how to meet emissions reduction targets.
Read more: https://t.co/jNteh5Lxy8 https://t.co/Rx9t5uqdqn",2023-07-07T08:04:54.000Z
87,abbgroupnews,"Update on the #EnergyEfficiency Movement - global forum aims to activate its network of “movers” more extensively and deepen the focus on key industry verticals, use cases and energy-efficient applications.
Read more: https://t.co/jMv7BxVk6B https://t.co/ec6bCi14Lv",2023-07-10T08:40:57.000Z
88,abbgroupnews,"Rome E-Prix - All-electric gladiators of #ABBFormulaE prepare for #Rome street fight.
Read more: https://t.co/ajz1hS4I5K
#motorsports #Sustainability #ElectricVehicles https://t.co/8hBwExZDOV",2023-07-10T15:17:58.000Z
89,abbgroupnews,"#ABBFormulaE returns to electrify #Rome, the Eternal City, where drivers will race round one of the longest tracks (3.385km), the Circuito Cittadino dell'EUR sweeps around the Obelisco di Marconi and the Colosseo Quadrato, in the south of the city.
https://t.co/liLMWJGdst https://t.co/6R5GfxvBba",2023-07-12T08:25:26.000Z
90,abbgroupnews,"ABB helping to prepare students for future of work.
Read more: https://t.co/muh9B0v0W8
#education #Robotics #Careers https://t.co/bQXeUcSzcz",2023-07-14T07:18:09.000Z
91,abbgroupnews,"ABB is working closely with educators to close the #automation skills gap with a new robotics #education  package. This includes training needed to teach robotic and automation skills to today’s students who become tomorrow’s workers.
https://t.co/muh9B0vyLG
#WorldYouthSkillsDay https://t.co/BX4AhjA1Ku",2023-07-15T05:00:01.000Z
92,abbgroupnews,"Pole position for race 1 of the #RomeEPrix goes to Mitch Evans of Jaguar Racing. Tune in from 1500 CEST for the all-electric race action! ⚡️🏎️🇮🇹
#abbformulae #motorsports https://t.co/92ncrGJ6Jq",2023-07-15T11:06:59.000Z
93,abbgroupnews,"ABB will release its Q2 2023 results at 7:00 a.m. CEST on Thursday, July 20, 2023. A webcast hosted by Björn Rosengren, CEO and Timo Ihamuotila, CFO will take place at 10:00am CEST on the same day.
More details: https://t.co/FQeHHqvyVe https://t.co/4UGwdO843W",2023-07-18T06:52:44.000Z
94,abbgroupnews,"Retrofit solution brings security and efficiency to Belgium energy supplier. This modernization project will reduce total cost of ownership for @ENGIEgroup 
Read more: https://t.co/DEHgYvsKo3
#energyefficiency #electrification #sustainability https://t.co/W9sPHmJOid",2023-07-19T07:35:05.000Z
95,abbgroupnews,"ABB Q2 2023 results - Comparable order growth from a high base and record-high Operational EBITA margin.
Read more: https://t.co/HyL85NgWI7 https://t.co/GeJdZSPxBK",2023-07-20T05:03:57.000Z
96,abbgroupnews,"""The positive book-to-bill ratio and new record-high Operational EBITA earnings and margin add to our confidence about ABB's 2023 outcome allowing us to sharpen our margin expectations."" - ABB CEO, Björn Rosengren, discusses our Q2 2023 results with Head of IR, Ann-Sofie Nordh. https://t.co/du7sLHD3SS",2023-07-20T07:39:54.000Z
97,abbgroupnews,"Flag falls on Season 9 of #ABBFormulaE in London 🇬🇧
Champions will be crowned in #London this weekend as Season 9 of the ABB @FIAFormulaE World Championship comes to a close at the ExCeL exhibition center: https://t.co/5ZlrqPekbp
#Motorsport #ElectricVehicles ⚡️🏎️ https://t.co/Fg5H6NtShg",2023-07-26T08:19:46.000Z
98,abbgroupnews,"London stage set for finale of electrifying #ABBFormulaE Season 9 ⚡️🏎️ 🇬🇧
London’s two-race season closer for the ABB @FIAFormulaE World Championship season highlights advances in sustainable #emobility.
Read more: https://t.co/6qv0SWYBtf
#motorsports #ElectricVehicle https://t.co/7Zl1TLSI7G",2023-07-27T14:14:49.000Z
99,abbgroupnews,"London's calling! 🇬🇧 ⚡️🏎️
Tune in for the first race of the #LondonEPrix today at 18:00 CEST: https://t.co/6qv0SWY3DH
#ABBFormulaE #motorsports #London https://t.co/bzJ0Tn65Re",2023-07-29T07:43:04.000Z
100,abbgroupnews,"Nick Cassidy of @Envision_Racing will start the #LondonEPrix from pole position, after a five-place penalty for fastest man,  Jaguar's Mitch Evans. 
Race start at 1800 CEST ⚡️🏎️  🇬🇧

#ABBFormulaE #Motorsport 
[📸:DPPI] https://t.co/9xG5iVcuje",2023-07-29T14:10:40.000Z
101,abbgroupnews,"World Champion! Congratulations to @JakeDennis19 of @AndrettiFE !!!
👏🏁🏆
#ABBFormulaE #LondonEPrix #motorsports https://t.co/WTkpjb4lMi",2023-07-29T18:12:13.000Z
102,abbgroupnews,"Pole position for Nick Cassidy of @Envision_Racing at the second ABB Formula E #LondonEPrix. 👏
Race start: 1800 CEST ⚡️🏎️  🇬🇧
#ABBFormulaE #Motorsport 

[📸: dppi] https://t.co/Of4MTXoOBp",2023-07-30T13:49:25.000Z
103,abbgroupnews,"A dominant #LondonEPrix win for Nick Cassidy secures the Season 9 teams' title for his @Envision_Racing team.

#ABBFormulaE #motorsports #electricvehicles 

[📸: dppi] https://t.co/cG49Tc9ju3",2023-07-30T18:32:50.000Z
104,abbgroupnews,"ABB Ambassador Lucas Di Grassi, of Mahindra, wins the first #ABB Driver of Progress Award, for gaining the most places from his starting position. The Award recognises smart use of energy in racing.

#ABBFormulaE #motorsports #ElectricVehicle https://t.co/qAREHEZPI5",2023-07-31T06:21:12.000Z
105,abbgroupnews,"ABB expands partnership with @northvolt to electrify the world’s largest battery recycling facility.
Read more: https://t.co/OPOyDGPDgU
#Sustainability #ABB #recycling #electrification https://t.co/U0rGh7a4OE",2023-08-17T08:13:33.000Z
